iter	Passed	Remaining
887	86904	10960
888	86999	10862
889	87098	10764
890	87198	10667
891	87295	10569
892	87421	10474
893	87533	10378
894	87639	10281
895	87751	10185
896	87860	10088
897	87959	9990
898	88058	9893
899	88160	9795
900	88314	9703
901	88477	9612
902	88610	9518
903	88730	9422
904	88846	9326
905	88945	9228
906	89068	9132
907	89207	9038
908	89313	8941
909	89455	8847
910	89586	8752
911	89691	8654
912	89832	8560
913	89938	8462
914	90067	8366
915	90173	8269
916	90279	8171
917	90391	8074
918	90539	7980
919	90662	7883
920	90758	7784
921	90863	7686
922	90966	7588
923	91071	7490
924	91165	7391
925	91274	7294
926	91373	7195
927	91475	7097
928	91592	7000
929	91700	6902
930	91814	6804
931	91922	6706
932	92043	6609
933	92156	6512
934	92269	6414
935	92380	6316
936	92473	6217
937	92600	6120
938	92716	6023
939	92832	5925
940	92947	5827
941	93066	5730
942	93202	5633
943	93337	5536
944	93462	5439
945	93569	5341
946	93702	5244
947	93839	5147
948	93977	5050
949	94096	4952
950	94193	4853
951	94296	4754
952	94402	4655
953	94506	4556
954	94618	4458
955	94799	4363
956	94973	4267
957	95149	4171
958	95306	4074
959	95413	3975
960	95520	3876
961	95628	3777
962	95744	3678
963	95849	3579
964	95960	3480
965	96053	3380
966	96146	3281
967	96246	3181
968	96348	3082
969	96449	2982
970	96550	2883
971	96655	2784
972	96797	2686
973	96921	2587
974	97028	2487
975	97126	2388
976	97233	2289
977	97335	2189
978	97437	2090
979	97534	1990
980	97623	1890
981	97732	1791
982	97884	1692
983	98011	1593
984	98124	1494
985	98258	1395
986	98370	1295
987	98473	1196
988	98574	1096
989	98672	996
990	98798	897
991	98933	797
992	99037	698
993	99147	598
994	99263	498
995	99368	399
996	99477	299
997	99583	199
998	99696	99
999	99808	0
